column,row,variable,percentage,real_percent
1,1,bed_used,1%,46.21
2,1,bed_used,2%,46.21
3,1,bed_used,3%,46.21
4,1,bed_used,4%,46.21
5,1,bed_used,5%,46.21
6,1,bed_used,6%,46.21
7,1,bed_used,7%,46.21
8,1,bed_used,8%,46.21
9,1,bed_used,9%,46.21
10,1,bed_used,10%,46.21
1,2,bed_used,11.00%,46.21
2,2,bed_used,12.00%,46.21
3,2,bed_used,13.00%,46.21
4,2,bed_used,14.00%,46.21
5,2,bed_used,15.00%,46.21
6,2,bed_used,16.00%,46.21
7,2,bed_used,17.00%,46.21
8,2,bed_used,18.00%,46.21
9,2,bed_used,19.00%,46.21
10,2,bed_used,20.00%,46.21
1,3,bed_used,21.00%,46.21
2,3,bed_used,22.00%,46.21
3,3,bed_used,23.00%,46.21
4,3,bed_used,24.00%,46.21
5,3,bed_used,25.00%,46.21
6,3,bed_used,26.00%,46.21
7,3,bed_used,27.00%,46.21
8,3,bed_used,28.00%,46.21
9,3,bed_used,29.00%,46.21
10,3,bed_used,30.00%,46.21
1,4,bed_used,31.00%,46.21
2,4,bed_used,32.00%,46.21
3,4,bed_used,33.00%,46.21
4,4,bed_used,34.00%,46.21
5,4,bed_used,35.00%,46.21
6,4,bed_used,36.00%,46.21
7,4,bed_used,37.00%,46.21
8,4,bed_used,38.00%,46.21
9,4,bed_used,39.00%,46.21
10,4,bed_used,40.00%,46.21
1,5,bed_used,41.00%,46.21
2,5,bed_used,42.00%,46.21
3,5,bed_used,43.00%,46.21
4,5,bed_used,44.00%,46.21
5,5,bed_used,45.00%,46.21
6,5,bed_used,46.00%,46.21
7,5,non_bed,47.00%,53.79
8,5,non_bed,48.00%,53.79
9,5,non_bed,49.00%,53.79
10,5,non_bed,50.00%,53.79
1,6,non_bed,51.00%,53.79
2,6,non_bed,52.00%,53.79
3,6,non_bed,53.00%,53.79
4,6,non_bed,54.00%,53.79
5,6,non_bed,55.00%,53.79
6,6,non_bed,56.00%,53.79
7,6,non_bed,57.00%,53.79
8,6,non_bed,58.00%,53.79
9,6,non_bed,59.00%,53.79
10,6,non_bed,60.00%,53.79
1,7,non_bed,61.00%,53.79
2,7,non_bed,62.00%,53.79
3,7,non_bed,63.00%,53.79
4,7,non_bed,64.00%,53.79
5,7,non_bed,65.00%,53.79
6,7,non_bed,66.00%,53.79
7,7,non_bed,67.00%,53.79
8,7,non_bed,68.00%,53.79
9,7,non_bed,69.00%,53.79
10,7,non_bed,70.00%,53.79
1,8,non_bed,71.00%,53.79
2,8,non_bed,72.00%,53.79
3,8,non_bed,73.00%,53.79
4,8,non_bed,74.00%,53.79
5,8,non_bed,75.00%,53.79
6,8,non_bed,76.00%,53.79
7,8,non_bed,77.00%,53.79
8,8,non_bed,78.00%,53.79
9,8,non_bed,79.00%,53.79
10,8,non_bed,80.00%,53.79
1,9,non_bed,81.00%,53.79
2,9,non_bed,82.00%,53.79
3,9,non_bed,83.00%,53.79
4,9,non_bed,84.00%,53.79
5,9,non_bed,85.00%,53.79
6,9,non_bed,86.00%,53.79
7,9,non_bed,87.00%,53.79
8,9,non_bed,88.00%,53.79
9,9,non_bed,89.00%,53.79
10,9,non_bed,90.00%,53.79
1,10,non_bed,91.00%,53.79
2,10,non_bed,92.00%,53.79
3,10,non_bed,93.00%,53.79
4,10,non_bed,94.00%,53.79
5,10,non_bed,95.00%,53.79
6,10,non_bed,96.00%,53.79
7,10,non_bed,97.00%,53.79
8,10,non_bed,98.00%,53.79
9,10,non_bed,99.00%,53.79
10,10,non_bed,100.00%,53.79
