date,cases_new,cases_active,cases_recovered,month,day
2021-06-01,7105,80024,6083,06,01
2021-06-02,7703,81863,5777,06,02
2021-06-03,8209,82913,7049,06,03
2021-06-04,7748,83954,6624,06,04
2021-06-05,7452,85211,6105,06,05
2021-06-06,6241,86240,5133,06,06
2021-06-07,5271,83881,7548,06,07
2021-06-08,5566,82412,6962,06,08
2021-06-09,6239,81172,7386,06,09
2021-06-10,5671,79450,7325,06,10
2021-06-11,6849,78484,7749,06,11
2021-06-12,5793,75861,8334,06,12
2021-06-13,5304,72929,8163,06,13
2021-06-14,4949,71199,6588,06,14
2021-06-15,5419,69708,6831,06,15
2021-06-16,5150,67537,7240,06,16
2021-06-17,5738,65664,7530,06,17
2021-06-18,6440,65163,6861,06,18
2021-06-19,5911,64089,6918,06,19
2021-06-20,5293,63366,5941,06,20
2021-06-21,4611,62457,5439,06,21
2021-06-22,4743,61555,5557,06,22
2021-06-23,5244,60343,6372,06,23
2021-06-24,5841,60693,5411,06,24
2021-06-25,5812,59652,6775,06,25
2021-06-26,5803,60175,5193,06,26
2021-06-27,5586,60912,4777,06,27
2021-06-28,5218,61295,4744,06,28
2021-06-29,6437,62343,5298,06,29
2021-06-30,6276,63581,4929,06,30
2021-07-01,6988,64891,5580,07,01
2021-07-02,6982,65488,6278,07,02
2021-07-03,6658,66353,5677,07,03
2021-07-04,6045,67014,5271,07,04
2021-07-05,6387,68770,4532,07,05
2021-07-06,7654,71516,4797,07,06
2021-07-07,7097,73595,4863,07,07
2021-07-08,8868,76503,5802,07,08
2021-07-09,9180,79788,5713,07,09
2021-07-10,9353,83082,5910,07,10
2021-07-11,9105,86809,5194,07,11
2021-07-12,8574,90166,5041,07,12
2021-07-13,11079,95062,5990,07,13
2021-07-14,11618,100126,6377,07,14
2021-07-15,13215,107037,6095,07,15
2021-07-16,12541,112624,6742,07,16
2021-07-17,12528,118261,6629,07,17
2021-07-18,10710,122958,5778,07,18
2021-07-19,10972,127270,6439,07,19
2021-07-20,12366,131794,7567,07,20
2021-07-21,11985,135607,7902,07,21
2021-07-22,13034,139941,8436,07,22
2021-07-23,15573,145131,10094,07,23
2021-07-24,15902,151264,9471,07,24
2021-07-25,17045,158323,9683,07,25
2021-07-26,14516,163200,9371,07,26
2021-07-27,16117,167518,11526,07,27
2021-07-28,17405,172230,12373,07,28
2021-07-29,17170,176182,12930,07,29
2021-07-30,16840,180516,12179,07,30
2021-07-31,17786,186272,11718,07,31
2021-08-01,17150,191771,11326,08,01
2021-08-02,15764,195394,11767,08,02
2021-08-03,17105,199863,12297,08,03
2021-08-04,19819,206672,12704,08,04
2021-08-05,20596,213065,13893,08,05
2021-08-06,20889,217203,16394,08,06
2021-08-07,19257,219805,16323,08,07
2021-08-08,18688,221119,17055,08,08
2021-08-09,17236,222865,15187,08,09
2021-08-10,19991,226192,16258,08,10
2021-08-11,20780,228713,17973,08,11
2021-08-12,21668,232400,17687,08,12
2021-08-13,21468,236580,17025,08,13
2021-08-14,20670,239320,17655,08,14
2021-08-15,20546,242632,16945,08,15
2021-08-16,19740,244632,17450,08,16
2021-08-17,19631,247546,16467,08,17
2021-08-18,22242,249835,19680,08,18
2021-08-19,22948,250806,21720,08,19
2021-08-20,23564,252690,21448,08,20
2021-08-21,22262,256130,18576,08,21
2021-08-22,19807,257435,18200,08,22
2021-08-23,17672,255783,19053,08,23
2021-08-24,20837,257822,18613,08,24
2021-08-25,22642,259432,20798,08,25
2021-08-26,24599,261105,22657,08,26
2021-08-27,22070,261063,21877,08,27
2021-08-28,22597,263930,19492,08,28
2021-08-29,20579,263419,20845,08,29
2021-08-30,19268,261159,21257,08,30
2021-08-31,20897,263336,18465,08,31
2021-09-01,18762,260758,21073,09,01
2021-09-02,20988,258048,23473,09,02
2021-09-03,19378,254811,22399,09,03
2021-09-04,19057,252063,21582,09,04
2021-09-05,20396,251637,20573,09,05
2021-09-06,17352,248556,20201,09,06
2021-09-07,18547,247977,18902,09,07
2021-09-08,19733,244763,22701,09,08
2021-09-09,19307,239006,24855,09,09
2021-09-10,21176,238495,21476,09,10
2021-09-11,19550,236064,21771,09,11
2021-09-12,19198,234060,20980,09,12
2021-09-13,16073,225143,24813,09,13
2021-09-14,15669,222568,18053,09,14
2021-09-15,19495,223097,18760,09,15
2021-09-16,18815,224793,16939,09,16
2021-09-17,17577,219213,22970,09,17
2021-09-18,15549,217392,17205,09,18
2021-09-19,14954,208724,23469,09,19
2021-09-20,14345,206109,16814,09,20
2021-09-21,15759,205069,16650,09,21
2021-09-22,14990,200216,19702,09,22
2021-09-23,13754,197194,16628,09,23
2021-09-24,14554,194852,16751,09,24
2021-09-25,13899,190523,18074,09,25
2021-09-26,13104,182537,20971,09,26
2021-09-27,10959,176940,16430,09,27
2021-09-28,11332,174015,14160,09,28
2021-09-29,12434,169336,17000,09,29
2021-09-30,12735,164230,17725,09,30
