State,Types,Total
Johor,Pfizer,1665445
Johor,Sinovac,835986
Johor,Astra Zeneca,285694
Johor,CanSino,3022
Kedah,Pfizer,1023553
Kedah,Sinovac,333484
Kedah,Astra Zeneca,97347
Kedah,CanSino,2816
Kelantan,Pfizer,822948
Kelantan,Sinovac,262512
Kelantan,Astra Zeneca,24819
Kelantan,CanSino,2133
Melaka,Pfizer,404387
Melaka,Sinovac,274539
Melaka,Astra Zeneca,13121
Melaka,CanSino,1838
Negeri Sembilan,Pfizer,629674
Negeri Sembilan,Sinovac,265856
Negeri Sembilan,Astra Zeneca,12744
Negeri Sembilan,CanSino,994
Pahang,Pfizer,804498
Pahang,Sinovac,287789
Pahang,Astra Zeneca,21981
Pahang,CanSino,2484
Perak,Pfizer,1126132
Perak,Sinovac,511531
Perak,Astra Zeneca,86986
Perak,CanSino,6507
Perlis,Pfizer,147757
Perlis,Sinovac,46516
Perlis,Astra Zeneca,2540
Perlis,CanSino,504
Pulau Pinang,Pfizer,727711
Pulau Pinang,Sinovac,479241
Pulau Pinang,Astra Zeneca,215365
Pulau Pinang,CanSino,2920
Sabah,Pfizer,1554879
Sabah,Sinovac,488896
Sabah,Astra Zeneca,93519
Sabah,CanSino,78034
Sarawak,Pfizer,553329
Sarawak,Sinovac,1469046
Sarawak,Astra Zeneca,45801
Sarawak,CanSino,136
Selangor,Pfizer,1617357
Selangor,Sinovac,2448808
Selangor,Astra Zeneca,316054
Selangor,CanSino,2649
Terengganu,Pfizer,496902
Terengganu,Sinovac,309245
Terengganu,Astra Zeneca,23272
Terengganu,CanSino,3906
W.P. Kuala Lumpur,Pfizer,703964
W.P. Kuala Lumpur,Sinovac,1436078
W.P. Kuala Lumpur,Astra Zeneca,788135
W.P. Kuala Lumpur,CanSino,311
W.P. Labuan,Pfizer,73814
W.P. Labuan,Sinovac,6151
W.P. Labuan,Astra Zeneca,0
W.P. Labuan,CanSino,0
W.P. Putrajaya,Pfizer,82402
W.P. Putrajaya,Sinovac,55719
W.P. Putrajaya,Astra Zeneca,718
W.P. Putrajaya,CanSino,0
