column,row,variable,percentage,real_percent
1,1,ultilised,1%,70.9
2,1,ultilised,2%,70.9
3,1,ultilised,3%,70.9
4,1,ultilised,4%,70.9
5,1,ultilised,5%,70.9
6,1,ultilised,6%,70.9
7,1,ultilised,7%,70.9
8,1,ultilised,8%,70.9
9,1,ultilised,9%,70.9
10,1,ultilised,10%,70.9
1,2,ultilised,11.00%,70.9
2,2,ultilised,12.00%,70.9
3,2,ultilised,13.00%,70.9
4,2,ultilised,14.00%,70.9
5,2,ultilised,15.00%,70.9
6,2,ultilised,16.00%,70.9
7,2,ultilised,17.00%,70.9
8,2,ultilised,18.00%,70.9
9,2,ultilised,19.00%,70.9
10,2,ultilised,20.00%,70.9
1,3,ultilised,21.00%,70.9
2,3,ultilised,22.00%,70.9
3,3,ultilised,23.00%,70.9
4,3,ultilised,24.00%,70.9
5,3,ultilised,25.00%,70.9
6,3,ultilised,26.00%,70.9
7,3,ultilised,27.00%,70.9
8,3,ultilised,28.00%,70.9
9,3,ultilised,29.00%,70.9
10,3,ultilised,30.00%,70.9
1,4,ultilised,31.00%,70.9
2,4,ultilised,32.00%,70.9
3,4,ultilised,33.00%,70.9
4,4,ultilised,34.00%,70.9
5,4,ultilised,35.00%,70.9
6,4,ultilised,36.00%,70.9
7,4,ultilised,37.00%,70.9
8,4,ultilised,38.00%,70.9
9,4,ultilised,39.00%,70.9
10,4,ultilised,40.00%,70.9
1,5,ultilised,41.00%,70.9
2,5,ultilised,42.00%,70.9
3,5,ultilised,43.00%,70.9
4,5,ultilised,44.00%,70.9
5,5,ultilised,45.00%,70.9
6,5,ultilised,46.00%,70.9
7,5,ultilised,47.00%,70.9
8,5,ultilised,48.00%,70.9
9,5,ultilised,49.00%,70.9
10,5,ultilised,50.00%,70.9
1,6,ultilised,51.00%,70.9
2,6,ultilised,52.00%,70.9
3,6,ultilised,53.00%,70.9
4,6,ultilised,54.00%,70.9
5,6,ultilised,55.00%,70.9
6,6,ultilised,56.00%,70.9
7,6,ultilised,57.00%,70.9
8,6,ultilised,58.00%,70.9
9,6,ultilised,59.00%,70.9
10,6,ultilised,60.00%,70.9
1,7,ultilised,61.00%,70.9
2,7,ultilised,62.00%,70.9
3,7,ultilised,63.00%,70.9
4,7,ultilised,64.00%,70.9
5,7,ultilised,65.00%,70.9
6,7,ultilised,66.00%,70.9
7,7,ultilised,67.00%,70.9
8,7,ultilised,68.00%,70.9
9,7,ultilised,69.00%,70.9
10,7,ultilised,70.00%,70.9
1,8,not-ultilised,71.00%,29.95
2,8,not-ultilised,72.00%,29.95
3,8,not-ultilised,73.00%,29.95
4,8,not-ultilised,74.00%,29.95
5,8,not-ultilised,75.00%,29.95
6,8,not-ultilised,76.00%,29.95
7,8,not-ultilised,77.00%,29.95
8,8,not-ultilised,78.00%,29.95
9,8,not-ultilised,79.00%,29.95
10,8,not-ultilised,80.00%,29.95
1,9,not-ultilised,81.00%,29.95
2,9,not-ultilised,82.00%,29.95
3,9,not-ultilised,83.00%,29.95
4,9,not-ultilised,84.00%,29.95
5,9,not-ultilised,85.00%,29.95
6,9,not-ultilised,86.00%,29.95
7,9,not-ultilised,87.00%,29.95
8,9,not-ultilised,88.00%,29.95
9,9,not-ultilised,89.00%,29.95
10,9,not-ultilised,90.00%,29.95
1,10,not-ultilised,91.00%,29.95
2,10,not-ultilised,92.00%,29.95
3,10,not-ultilised,93.00%,29.95
4,10,not-ultilised,94.00%,29.95
5,10,not-ultilised,95.00%,29.95
6,10,not-ultilised,96.00%,29.95
7,10,not-ultilised,97.00%,29.95
8,10,not-ultilised,98.00%,29.95
9,10,not-ultilised,99.00%,29.95
10,10,not-ultilised,100.00%,29.95
