column,row,variable,percentage,real_percent
1,1,ultilised,1%,52.66
2,1,ultilised,2%,52.66
3,1,ultilised,3%,52.66
4,1,ultilised,4%,52.66
5,1,ultilised,5%,52.66
6,1,ultilised,6%,52.66
7,1,ultilised,7%,52.66
8,1,ultilised,8%,52.66
9,1,ultilised,9%,52.66
10,1,ultilised,10%,52.66
1,2,ultilised,11.00%,52.66
2,2,ultilised,12.00%,52.66
3,2,ultilised,13.00%,52.66
4,2,ultilised,14.00%,52.66
5,2,ultilised,15.00%,52.66
6,2,ultilised,16.00%,52.66
7,2,ultilised,17.00%,52.66
8,2,ultilised,18.00%,52.66
9,2,ultilised,19.00%,52.66
10,2,ultilised,20.00%,52.66
1,3,ultilised,21.00%,52.66
2,3,ultilised,22.00%,52.66
3,3,ultilised,23.00%,52.66
4,3,ultilised,24.00%,52.66
5,3,ultilised,25.00%,52.66
6,3,ultilised,26.00%,52.66
7,3,ultilised,27.00%,52.66
8,3,ultilised,28.00%,52.66
9,3,ultilised,29.00%,52.66
10,3,ultilised,30.00%,52.66
1,4,ultilised,31.00%,52.66
2,4,ultilised,32.00%,52.66
3,4,ultilised,33.00%,52.66
4,4,ultilised,34.00%,52.66
5,4,ultilised,35.00%,52.66
6,4,ultilised,36.00%,52.66
7,4,ultilised,37.00%,52.66
8,4,ultilised,38.00%,52.66
9,4,ultilised,39.00%,52.66
10,4,ultilised,40.00%,52.66
1,5,ultilised,41.00%,52.66
2,5,ultilised,42.00%,52.66
3,5,ultilised,43.00%,52.66
4,5,ultilised,44.00%,52.66
5,5,ultilised,45.00%,52.66
6,5,ultilised,46.00%,52.66
7,5,ultilised,47.00%,52.66
8,5,ultilised,48.00%,52.66
9,5,ultilised,49.00%,52.66
10,5,ultilised,50.00%,52.66
1,6,ultilised,51.00%,52.66
2,6,ultilised,52.00%,52.66
3,6,non-ultilised,53.00%,47.34
4,6,non-ultilised,54.00%,47.34
5,6,non-ultilised,55.00%,47.34
6,6,non-ultilised,56.00%,47.34
7,6,non-ultilised,57.00%,47.34
8,6,non-ultilised,58.00%,47.34
9,6,non-ultilised,59.00%,47.34
10,6,non-ultilised,60.00%,47.34
1,7,non-ultilised,61.00%,47.34
2,7,non-ultilised,62.00%,47.34
3,7,non-ultilised,63.00%,47.34
4,7,non-ultilised,64.00%,47.34
5,7,non-ultilised,65.00%,47.34
6,7,non-ultilised,66.00%,47.34
7,7,non-ultilised,67.00%,47.34
8,7,non-ultilised,68.00%,47.34
9,7,non-ultilised,69.00%,47.34
10,7,non-ultilised,70.00%,47.34
1,8,non-ultilised,71.00%,47.34
2,8,non-ultilised,72.00%,47.34
3,8,non-ultilised,73.00%,47.34
4,8,non-ultilised,74.00%,47.34
5,8,non-ultilised,75.00%,47.34
6,8,non-ultilised,76.00%,47.34
7,8,non-ultilised,77.00%,47.34
8,8,non-ultilised,78.00%,47.34
9,8,non-ultilised,79.00%,47.34
10,8,non-ultilised,80.00%,47.34
1,9,non-ultilised,81.00%,47.34
2,9,non-ultilised,82.00%,47.34
3,9,non-ultilised,83.00%,47.34
4,9,non-ultilised,84.00%,47.34
5,9,non-ultilised,85.00%,47.34
6,9,non-ultilised,86.00%,47.34
7,9,non-ultilised,87.00%,47.34
8,9,non-ultilised,88.00%,47.34
9,9,non-ultilised,89.00%,47.34
10,9,non-ultilised,90.00%,47.34
1,10,non-ultilised,91.00%,47.34
2,10,non-ultilised,92.00%,47.34
3,10,non-ultilised,93.00%,47.34
4,10,non-ultilised,94.00%,47.34
5,10,non-ultilised,95.00%,47.34
6,10,non-ultilised,96.00%,47.34
7,10,non-ultilised,97.00%,47.34
8,10,non-ultilised,98.00%,47.34
9,10,non-ultilised,99.00%,47.34
10,10,non-ultilised,100.00%,47.34
