column,row,variable,percentage,real_percent
1,1,vent_used,1%,21.26
2,1,vent_used,2%,21.26
3,1,vent_used,3%,21.26
4,1,vent_used,4%,21.26
5,1,vent_used,5%,21.26
6,1,vent_used,6%,21.26
7,1,vent_used,7%,21.26
8,1,vent_used,8%,21.26
9,1,vent_used,9%,21.26
10,1,vent_used,10%,21.26
1,2,vent_used,11.00%,21.26
2,2,vent_used,12.00%,21.26
3,2,vent_used,13.00%,21.26
4,2,vent_used,14.00%,21.26
5,2,vent_used,15.00%,21.26
6,2,vent_used,16.00%,21.26
7,2,vent_used,17.00%,21.26
8,2,vent_used,18.00%,21.26
9,2,vent_used,19.00%,21.26
10,2,vent_used,20.00%,21.26
1,3,vent_used,21.00%,21.26
2,3,non_vent,22.00%,78.74
3,3,non_vent,23.00%,78.74
4,3,non_vent,24.00%,78.74
5,3,non_vent,25.00%,78.74
6,3,non_vent,26.00%,78.74
7,3,non_vent,27.00%,78.74
8,3,non_vent,28.00%,78.74
9,3,non_vent,29.00%,78.74
10,3,non_vent,30.00%,78.74
1,4,non_vent,31.00%,78.74
2,4,non_vent,32.00%,78.74
3,4,non_vent,33.00%,78.74
4,4,non_vent,34.00%,78.74
5,4,non_vent,35.00%,78.74
6,4,non_vent,36.00%,78.74
7,4,non_vent,37.00%,78.74
8,4,non_vent,38.00%,78.74
9,4,non_vent,39.00%,78.74
10,4,non_vent,40.00%,78.74
1,5,non_vent,41.00%,78.74
2,5,non_vent,42.00%,78.74
3,5,non_vent,43.00%,78.74
4,5,non_vent,44.00%,78.74
5,5,non_vent,45.00%,78.74
6,5,non_vent,46.00%,78.74
7,5,non_vent,47.00%,78.74
8,5,non_vent,48.00%,78.74
9,5,non_vent,49.00%,78.74
10,5,non_vent,50.00%,78.74
1,6,non_vent,51.00%,78.74
2,6,non_vent,52.00%,78.74
3,6,non_vent,53.00%,78.74
4,6,non_vent,54.00%,78.74
5,6,non_vent,55.00%,78.74
6,6,non_vent,56.00%,78.74
7,6,non_vent,57.00%,78.74
8,6,non_vent,58.00%,78.74
9,6,non_vent,59.00%,78.74
10,6,non_vent,60.00%,78.74
1,7,non_vent,61.00%,78.74
2,7,non_vent,62.00%,78.74
3,7,non_vent,63.00%,78.74
4,7,non_vent,64.00%,78.74
5,7,non_vent,65.00%,78.74
6,7,non_vent,66.00%,78.74
7,7,non_vent,67.00%,78.74
8,7,non_vent,68.00%,78.74
9,7,non_vent,69.00%,78.74
10,7,non_vent,70.00%,78.74
1,8,non_vent,71.00%,78.74
2,8,non_vent,72.00%,78.74
3,8,non_vent,73.00%,78.74
4,8,non_vent,74.00%,78.74
5,8,non_vent,75.00%,78.74
6,8,non_vent,76.00%,78.74
7,8,non_vent,77.00%,78.74
8,8,non_vent,78.00%,78.74
9,8,non_vent,79.00%,78.74
10,8,non_vent,80.00%,78.74
1,9,non_vent,81.00%,78.74
2,9,non_vent,82.00%,78.74
3,9,non_vent,83.00%,78.74
4,9,non_vent,84.00%,78.74
5,9,non_vent,85.00%,78.74
6,9,non_vent,86.00%,78.74
7,9,non_vent,87.00%,78.74
8,9,non_vent,88.00%,78.74
9,9,non_vent,89.00%,78.74
10,9,non_vent,90.00%,78.74
1,10,non_vent,91.00%,78.74
2,10,non_vent,92.00%,78.74
3,10,non_vent,93.00%,78.74
4,10,non_vent,94.00%,78.74
5,10,non_vent,95.00%,78.74
6,10,non_vent,96.00%,78.74
7,10,non_vent,97.00%,78.74
8,10,non_vent,98.00%,78.74
9,10,non_vent,99.00%,78.74
10,10,non_vent,100.00%,78.74
